zeit,city,blasi,oerlikon
2025-12-04 12:49:46,113,0,63

2025-12-04 12:53:10,113,0,63
2025-12-04 12:56:40,111,0,59
2025-12-04 14:51:28,109,0,83
2025-12-04 15:00:46,92,0,70
2025-12-04 15:51:54,92,0,80
2025-12-04 16:45:20,125,0,137
2025-12-04 16:58:36,130,0,148
2025-12-04 17:58:20,118,2,118
2025-12-04 18:45:20,142,0,104
2025-12-04 18:56:38,147,3,98
2025-12-04 19:58:42,141,3,85
2025-12-04 20:33:11,104,0,39
2025-12-04 20:46:29,96,0,41
2025-12-04 20:53:25,93,0,42
2025-12-04 21:43:45,62,0,14
2025-12-04 21:57:11,40,0,10
2025-12-04 22:34:11,0,0,1
2025-12-04 22:51:02,1,0,0
2025-12-04 22:54:36,1,0,0
2025-12-04 23:39:04,0,0,0
2025-12-04 23:49:23,0,0,1
2025-12-04 23:56:33,0,0,1
2025-12-05 05:52:27,3,5,0
2025-12-05 06:41:13,72,8,50
2025-12-05 06:53:12,78,8,55
2025-12-05 07:57:35,70,1,55
2025-12-05 08:36:21,106,22,101
2025-12-05 08:47:14,109,21,103
2025-12-05 08:54:27,104,36,99
2025-12-05 09:53:45,105,32,80
2025-12-05 10:40:47,118,12,134
2025-12-05 10:51:34,132,32,135
2025-12-05 11:44:54,113,21,100
2025-12-05 11:55:35,119,14,90
